EVTYPE,EVTYPE_ACTUAL
DOWNBURST WINDS,HIGH WIND
DRIEST MONTH,DROUGHT
Drifting Snow,HEAVY SNOW
DROUGHT,DROUGHT
DROUGHT/EXCESSIVE HEAT,DROUGHT
DROWNING,OTHER
DRY,DROUGHT
DRY CONDITIONS,DROUGHT
DRY HOT WEATHER,DROUGHT
DRY MICROBURST,THUNDERSTORM WIND
DRY MICROBURST 50,THUNDERSTORM WIND
DRY MICROBURST 53,THUNDERSTORM WIND
DRY MICROBURST 58,THUNDERSTORM WIND
DRY MICROBURST 61,THUNDERSTORM WIND
DRY MICROBURST 84,THUNDERSTORM WIND
DRY MICROBURST WINDS,HIGH WIND
DRY MIRCOBURST WINDS,HIGH WIND
DRY PATTERN,DROUGHT
DRY SPELL,DROUGHT
DRY WEATHER,DROUGHT
DRYNESS,DROUGHT
DUST DEVEL,DUST DEVIL
Dust Devil,DUST DEVIL
DUST DEVIL,DUST DEVIL
DUST DEVIL WATERSPOUT,DUST DEVIL
DUST STORM,DUST STORM
DUST STORM/HIGH WINDS,DUST STORM
DUSTSTORM,DUST STORM
EARLY FREEZE,FROST/FREEZE
Early Frost,WINTER WEATHER
EARLY FROST,WINTER WEATHER
EARLY RAIN,HEAVY RAIN
EARLY SNOW,HEAVY SNOW
Early snowfall,HEAVY SNOW
EARLY SNOWFALL,HEAVY SNOW
Erosion/Cstl Flood,COASTAL FLOOD
EXCESSIVE,OTHER
Excessive Cold,EXTREME COLD/WINDCHILL
EXCESSIVE HEAT,EXCESSIVE HEAT
EXCESSIVE HEAT/DROUGHT,DROUGHT
EXCESSIVE PRECIPITATION,OTHER
EXCESSIVE RAIN,HEAVY RAIN
EXCESSIVE RAINFALL,HEAVY RAIN
EXCESSIVE SNOW,HEAVY SNOW
EXCESSIVE WETNESS,HEAVY RAIN
EXCESSIVELY DRY,DROUGHT
Extended Cold,EXTREME COLD/WINDCHILL
Extreme Cold,EXTREME COLD/WINDCHILL
EXTREME COLD,EXTREME COLD/WINDCHILL
EXTREME COLD/WIND CHILL,COLD/WIND CHILL
EXTREME HEAT,EXCESSIVE HEAT
EXTREME WIND CHILL,COLD/WIND CHILL
EXTREME WIND CHILL/BLOWING SNO,COLD/WIND CHILL
EXTREME WIND CHILLS,COLD/WIND CHILL
EXTREME WINDCHILL,COLD/WIND CHILL
EXTREME WINDCHILL TEMPERATURES,COLD/WIND CHILL
EXTREME/RECORD COLD,EXTREME COLD/WINDCHILL
EXTREMELY WET,HEAVY RAIN
FALLING SNOW/ICE,HEAVY SNOW
FIRST FROST,WINTER WEATHER
FIRST SNOW,HEAVY SNOW
FLASH FLOOD,FLASH FLOOD
FLASH FLOOD - HEAVY RAIN,FLASH FLOOD
FLASH FLOOD FROM ICE JAMS,FLASH FLOOD
FLASH FLOOD LANDSLIDES,FLASH FLOOD
FLASH FLOOD WINDS,FLASH FLOOD
FLASH FLOOD/,FLASH FLOOD
FLASH FLOOD/ FLOOD,FLASH FLOOD
FLASH FLOOD/ STREET,FLASH FLOOD
FLASH FLOOD/FLOOD,FLASH FLOOD
FLASH FLOOD/HEAVY RAIN,FLASH FLOOD
FLASH FLOOD/LANDSLIDE,FLASH FLOOD
FLASH FLOODING,FLASH FLOOD
FLASH FLOODING/FLOOD,FLASH FLOOD
FLASH FLOODING/THUNDERSTORM WI,FLASH FLOOD
FLASH FLOODS,FLASH FLOOD
FLASH FLOOODING,FLASH FLOOD
Flood,FLOOD
FLOOD,FLOOD
FLOOD & HEAVY RAIN,FLOOD
FLOOD FLASH,FLOOD
FLOOD FLOOD/FLASH,FLOOD
FLOOD WATCH/,FLOOD
FLOOD/FLASH,FLOOD
Flood/Flash Flood,FLOOD
FLOOD/FLASH FLOOD,FLOOD
FLOOD/FLASH FLOODING,FLOOD
FLOOD/FLASH/FLOOD,FLOOD
FLOOD/FLASHFLOOD,FLOOD
FLOOD/RAIN/WIND,FLOOD
FLOOD/RAIN/WINDS,FLOOD
FLOOD/RIVER FLOOD,FLOOD
Flood/Strong Wind,FLOOD
FLOODING,FLOOD
FLOODING/HEAVY RAIN,FLOOD
FLOODS,FLOOD
FOG,DENSE FOG
FOG AND COLD TEMPERATURES,FREEZING FOG
FOREST FIRES,WILDFIRE
Freeze,FROST/FREEZE
FREEZE,FROST/FREEZE
Freezing drizzle,ICE STORM
Freezing Drizzle,ICE STORM
FREEZING DRIZZLE,ICE STORM
FREEZING DRIZZLE AND FREEZING,ICE STORM
Freezing Fog,FREEZING FOG
FREEZING FOG,FREEZING FOG
Freezing rain,ICE STORM
Freezing Rain,ICE STORM
FREEZING RAIN,ICE STORM
FREEZING RAIN AND SLEET,ICE STORM
FREEZING RAIN AND SNOW,ICE STORM
FREEZING RAIN SLEET AND,ICE STORM
FREEZING RAIN SLEET AND LIGHT,ICE STORM
FREEZING RAIN/SLEET,ICE STORM
FREEZING RAIN/SNOW,ICE STORM
Freezing Spray,ICE STORM
Frost,WINTER WEATHER
FROST,WINTER WEATHER
Frost/Freeze,FROST/FREEZE
FROST/FREEZE,FROST/FREEZE
FROST\FREEZE,FROST/FREEZE
FUNNEL,FUNNEL CLOUD
Funnel Cloud,FUNNEL CLOUD
FUNNEL CLOUD,FUNNEL CLOUD
FUNNEL CLOUD.,FUNNEL CLOUD
FUNNEL CLOUD/HAIL,FUNNEL CLOUD
FUNNEL CLOUDS,FUNNEL CLOUD
FUNNELS,FUNNEL CLOUD
Glaze,WINTER WEATHER
GLAZE,WINTER WEATHER
GLAZE ICE,ICE STORM
GLAZE/ICE STORM,ICE STORM
gradient wind,HIGH WIND
Gradient wind,HIGH WIND
GRADIENT WIND,HIGH WIND
GRADIENT WINDS,HIGH WIND
GRASS FIRES,WILDFIRE
GROUND BLIZZARD,BLIZZARD
GUSTNADO,THUNDERSTORM WIND
GUSTNADO AND,THUNDERSTORM WIND
GUSTY LAKE WIND,HIGH WIND
GUSTY THUNDERSTORM WIND,THUNDERSTORM WIND
GUSTY THUNDERSTORM WINDS,THUNDERSTORM WIND
Gusty Wind,STRONG WIND
GUSTY WIND,STRONG WIND
GUSTY WIND/HAIL,STRONG WIND
GUSTY WIND/HVY RAIN,STRONG WIND
Gusty wind/rain,STRONG WIND
Gusty winds,STRONG WIND
Gusty Winds,STRONG WIND
GUSTY WINDS,STRONG WIND
HAIL,HAIL
HAIL 0.75,HAIL
HAIL 0.88,HAIL
HAIL 075,HAIL
HAIL 088,HAIL
HAIL 1.00,HAIL
HAIL 1.75,HAIL
HAIL 1.75),HAIL
HAIL 100,HAIL
HAIL 125,HAIL
HAIL 150,HAIL
HAIL 175,HAIL
HAIL 200,HAIL
HAIL 225,HAIL
HAIL 275,HAIL
HAIL 450,HAIL
HAIL 75,HAIL
HAIL 80,HAIL
HAIL 88,HAIL
HAIL ALOFT,HAIL
HAIL DAMAGE,HAIL
HAIL FLOODING,HAIL
HAIL STORM,HAIL
Hail(0.75),HAIL
HAIL/ICY ROADS,HAIL
HAIL/WIND,HAIL
HAIL/WINDS,HAIL
HAILSTORM,HAIL
HAILSTORMS,HAIL
HARD FREEZE,FROST/FREEZE
HAZARDOUS SURF,HIGH SURF
HEAT,HEAT
HEAT DROUGHT,DROUGHT
Heat Wave,HEAT
HEAT WAVE,HEAT
HEAT WAVE DROUGHT,HEAT
HEAT WAVES,HEAT
HEAT/DROUGHT,HEAT
Heatburst,HEAT
HEAVY LAKE SNOW,HEAVY SNOW
HEAVY MIX,HEAVY RAIN
HEAVY PRECIPATATION,HEAVY RAIN
Heavy Precipitation,HEAVY RAIN
HEAVY PRECIPITATION,HEAVY RAIN
Heavy rain,HEAVY RAIN
Heavy Rain,HEAVY RAIN
HEAVY RAIN,HEAVY RAIN
HEAVY RAIN AND FLOOD,HEAVY RAIN
Heavy Rain and Wind,HEAVY RAIN
HEAVY RAIN EFFECTS,HEAVY RAIN
HEAVY RAIN/FLOODING,HEAVY RAIN
Heavy Rain/High Surf,HEAVY RAIN
HEAVY RAIN/LIGHTNING,HEAVY RAIN
HEAVY RAIN/MUDSLIDES/FLOOD,HEAVY RAIN
HEAVY RAIN/SEVERE WEATHER,HEAVY RAIN
HEAVY RAIN/SMALL STREAM URBAN,HEAVY RAIN
HEAVY RAIN/SNOW,HEAVY RAIN
HEAVY RAIN/URBAN FLOOD,HEAVY RAIN
HEAVY RAIN/WIND,HEAVY RAIN
HEAVY RAIN; URBAN FLOOD WINDS;,HEAVY RAIN
HEAVY RAINFALL,HEAVY RAIN
HEAVY RAINS,HEAVY RAIN
HEAVY RAINS/FLOODING,HEAVY RAIN
HEAVY SEAS,HIGH SURF
HEAVY SHOWER,HEAVY RAIN
HEAVY SHOWERS,HEAVY RAIN
HEAVY SNOW,HEAVY SNOW
HEAVY SNOW-SQUALLS,HEAVY SNOW
HEAVY SNOW   FREEZING RAIN,HEAVY SNOW
HEAVY SNOW & ICE,HEAVY SNOW
HEAVY SNOW AND,HEAVY SNOW
HEAVY SNOW AND HIGH WINDS,HEAVY SNOW
HEAVY SNOW AND ICE,HEAVY SNOW
HEAVY SNOW AND ICE STORM,HEAVY SNOW
HEAVY SNOW AND STRONG WINDS,HEAVY SNOW
HEAVY SNOW ANDBLOWING SNOW,HEAVY SNOW
Heavy snow shower,HEAVY SNOW
HEAVY SNOW SQUALLS,HEAVY SNOW
HEAVY SNOW/BLIZZARD,HEAVY SNOW
HEAVY SNOW/BLIZZARD/AVALANCHE,HEAVY SNOW
HEAVY SNOW/BLOWING SNOW,HEAVY SNOW
HEAVY SNOW/FREEZING RAIN,HEAVY SNOW
HEAVY SNOW/HIGH,HEAVY SNOW
HEAVY SNOW/HIGH WIND,HEAVY SNOW
HEAVY SNOW/HIGH WINDS,HEAVY SNOW
HEAVY SNOW/HIGH WINDS & FLOOD,HEAVY SNOW
HEAVY SNOW/HIGH WINDS/FREEZING,HEAVY SNOW
HEAVY SNOW/ICE,HEAVY SNOW
HEAVY SNOW/ICE STORM,HEAVY SNOW
HEAVY SNOW/SLEET,HEAVY SNOW
HEAVY SNOW/SQUALLS,HEAVY SNOW
HEAVY SNOW/WIND,HEAVY SNOW
HEAVY SNOW/WINTER STORM,HEAVY SNOW
HEAVY SNOWPACK,HEAVY SNOW
Heavy Surf,HIGH SURF
HEAVY SURF,HIGH SURF
Heavy surf and wind,HIGH SURF
HEAVY SURF COASTAL FLOODING,HIGH SURF
HEAVY SURF/HIGH SURF,HIGH SURF
HEAVY SWELLS,HIGH SURF
HEAVY WET SNOW,HEAVY SNOW
HIGH,OTHER
HIGH  SWELLS,HIGH SURF
HIGH  WINDS,HIGH WIND
HIGH SEAS,HIGH SURF
High Surf,HIGH SURF
HIGH SURF,HIGH SURF
HIGH SURF ADVISORIES,HIGH SURF
HIGH SURF ADVISORY,HIGH SURF
HIGH SWELLS,HIGH SURF
HIGH TEMPERATURE RECORD,EXCESSIVE HEAT
HIGH TIDES,STORM TIDE
HIGH WATER,HIGH SURF
HIGH WAVES,HIGH SURF
High Wind,HIGH WIND
HIGH WIND,HIGH WIND
HIGH WIND (G40),HIGH WIND
HIGH WIND 48,HIGH WIND
HIGH WIND 63,HIGH WIND
HIGH WIND 70,HIGH WIND
HIGH WIND AND HEAVY SNOW,HIGH WIND
HIGH WIND AND HIGH TIDES,HIGH WIND
HIGH WIND AND SEAS,HIGH WIND
HIGH WIND DAMAGE,HIGH WIND
HIGH WIND/ BLIZZARD,HIGH WIND
HIGH WIND/BLIZZARD,HIGH WIND
HIGH WIND/BLIZZARD/FREEZING RA,HIGH WIND
HIGH WIND/HEAVY SNOW,HIGH WIND
HIGH WIND/LOW WIND CHILL,HIGH WIND
HIGH WIND/SEAS,HIGH WIND
HIGH WIND/WIND CHILL,HIGH WIND
HIGH WIND/WIND CHILL/BLIZZARD,HIGH WIND
HIGH WINDS,HIGH WIND
HIGH WINDS 55,HIGH WIND
HIGH WINDS 57,HIGH WIND
HIGH WINDS 58,HIGH WIND
HIGH WINDS 63,HIGH WIND
HIGH WINDS 66,HIGH WIND
HIGH WINDS 67,HIGH WIND
HIGH WINDS 73,HIGH WIND
HIGH WINDS 76,HIGH WIND
HIGH WINDS 80,HIGH WIND
HIGH WINDS 82,HIGH WIND
HIGH WINDS AND WIND CHILL,HIGH WIND
HIGH WINDS DUST STORM,HIGH WIND
HIGH WINDS HEAVY RAINS,HIGH WIND
HIGH WINDS/,HIGH WIND
HIGH WINDS/COASTAL FLOOD,HIGH WIND
HIGH WINDS/COLD,HIGH WIND
HIGH WINDS/FLOODING,HIGH WIND
HIGH WINDS/HEAVY RAIN,HIGH WIND
HIGH WINDS/SNOW,HIGH WIND
HIGHWAY FLOODING,FLOOD
Hot and Dry,EXCESSIVE HEAT
HOT PATTERN,EXCESSIVE HEAT
HOT SPELL,EXCESSIVE HEAT
HOT WEATHER,EXCESSIVE HEAT
HOT/DRY PATTERN,EXCESSIVE HEAT
HURRICANE,HURRICANE/TYPHOON
HURRICANE-GENERATED SWELLS,HURRICANE/TYPHOON
Hurricane Edouard,HURRICANE/TYPHOON
HURRICANE EMILY,HURRICANE/TYPHOON
HURRICANE ERIN,HURRICANE/TYPHOON
HURRICANE FELIX,HURRICANE/TYPHOON
HURRICANE GORDON,HURRICANE/TYPHOON
HURRICANE OPAL,HURRICANE/TYPHOON
HURRICANE OPAL/HIGH WINDS,HURRICANE/TYPHOON
HURRICANE/TYPHOON,HURRICANE/TYPHOON
HVY RAIN,HEAVY RAIN
HYPERTHERMIA/EXPOSURE,EXCESSIVE HEAT
HYPOTHERMIA,EXCESSIVE HEAT
Hypothermia/Exposure,EXCESSIVE HEAT
HYPOTHERMIA/EXPOSURE,EXCESSIVE HEAT
ICE,SLEET
ICE AND SNOW,SLEET
ICE FLOES,SLEET
Ice Fog,FREEZING FOG
ICE JAM,SLEET
Ice jam flood (minor,FLOOD
ICE JAM FLOODING,FLOOD
ICE ON ROAD,SLEET
ICE PELLETS,SLEET
ICE ROADS,SLEET
ICE STORM,ICE STORM
ICE STORM AND SNOW,ICE STORM
ICE STORM/FLASH FLOOD,ICE STORM
Ice/Snow,ICE STORM
ICE/SNOW,ICE STORM
ICE/STRONG WINDS,ICE STORM
Icestorm/Blizzard,BLIZZARD
Icy Roads,SLEET
ICY ROADS,SLEET
LACK OF SNOW,OTHER
LAKE-EFFECT SNOW,LAKE-EFFECT SNOW
Lake Effect Snow,LAKE-EFFECT SNOW
LAKE EFFECT SNOW,LAKE-EFFECT SNOW
LAKE FLOOD,LAKESHORE FLOOD
LAKESHORE FLOOD,LAKESHORE FLOOD
LANDSLIDE,HEAVY RAIN
LANDSLIDE/URBAN FLOOD,FLOOD
LANDSLIDES,HEAVY RAIN
Landslump,HEAVY RAIN
LANDSLUMP,HEAVY RAIN
LANDSPOUT,TORNADO
LARGE WALL CLOUD,OTHER
Late-season Snowfall,HEAVY SNOW
LATE FREEZE,FROST/FREEZE
LATE SEASON HAIL,HAIL
LATE SEASON SNOW,HEAVY SNOW
Late Season Snowfall,HEAVY SNOW
LATE SNOW,HEAVY SNOW
LIGHT FREEZING RAIN,ICE STORM
Light snow,HEAVY SNOW
Light Snow,HEAVY SNOW
LIGHT SNOW,HEAVY SNOW
LIGHT SNOW AND SLEET,HEAVY SNOW
Light Snow/Flurries,HEAVY SNOW
LIGHT SNOW/FREEZING PRECIP,HEAVY SNOW
Light Snowfall,HEAVY SNOW
LIGHTING,LIGHTNING
LIGHTNING,LIGHTNING
LIGHTNING  WAUSEON,LIGHTNING
LIGHTNING AND HEAVY RAIN,LIGHTNING
LIGHTNING AND THUNDERSTORM WIN,LIGHTNING
LIGHTNING AND WINDS,LIGHTNING
LIGHTNING DAMAGE,LIGHTNING
LIGHTNING FIRE,LIGHTNING
LIGHTNING INJURY,LIGHTNING
LIGHTNING THUNDERSTORM WINDS,LIGHTNING
LIGHTNING THUNDERSTORM WINDSS,LIGHTNING
LIGHTNING.,LIGHTNING
LIGHTNING/HEAVY RAIN,LIGHTNING
LIGNTNING,LIGHTNING
LOCAL FLASH FLOOD,FLOOD
LOCAL FLOOD,FLOOD
LOCALLY HEAVY RAIN,HEAVY RAIN
LOW TEMPERATURE,EXTREME COLD/WINDCHILL
LOW TEMPERATURE RECORD,EXTREME COLD/WINDCHILL
LOW WIND CHILL,COLD/WIND CHILL
MAJOR FLOOD,FLOOD
Marine Accident,MARINE HIGH WIND
MARINE HAIL,MARINE HAIL
MARINE HIGH WIND,MARINE HIGH WIND
MARINE MISHAP,MARINE HIGH WIND
MARINE STRONG WIND,MARINE STRONG WIND
MARINE THUNDERSTORM WIND,MARINE THUNDERSTORM WIND
MARINE TSTM WIND,MARINE THUNDERSTORM WIND
"Metro Storm, May 26",OTHER
Microburst,THUNDERSTORM WIND
MICROBURST,THUNDERSTORM WIND
MICROBURST WINDS,HIGH WIND
Mild and Dry Pattern,OTHER
MILD PATTERN,OTHER
MILD/DRY PATTERN,OTHER
MINOR FLOOD,FLOOD
Minor Flooding,FLOOD
MINOR FLOODING,FLOOD
MIXED PRECIP,OTHER
Mixed Precipitation,OTHER
MIXED PRECIPITATION,OTHER
MODERATE SNOW,HEAVY SNOW
MODERATE SNOWFALL,HEAVY SNOW
MONTHLY PRECIPITATION,OTHER
Monthly Rainfall,HEAVY RAIN
MONTHLY RAINFALL,HEAVY RAIN
Monthly Snowfall,HEAVY SNOW
MONTHLY SNOWFALL,HEAVY SNOW
MONTHLY TEMPERATURE,OTHER
Mountain Snows,HEAVY SNOW
MUD SLIDE,HEAVY RAIN
MUD SLIDES,HEAVY RAIN
MUD SLIDES URBAN FLOODING,FLOOD
MUD/ROCK SLIDE,HEAVY RAIN
Mudslide,HEAVY RAIN
MUDSLIDE,HEAVY RAIN
MUDSLIDE/LANDSLIDE,HEAVY RAIN
Mudslides,HEAVY RAIN
MUDSLIDES,HEAVY RAIN
NEAR RECORD SNOW,HEAVY SNOW
No Severe Weather,OTHER
NON-SEVERE WIND DAMAGE,HIGH WIND
NON-TSTM WIND,HIGH WIND
NON SEVERE HAIL,HAIL
NON TSTM WIND,HIGH WIND
NONE,OTHER
NORMAL PRECIPITATION,HEAVY RAIN
NORTHERN LIGHTS,LIGHTNING
Other,OTHER
OTHER,OTHER
PATCHY DENSE FOG,DENSE FOG
PATCHY ICE,SLEET
Prolong Cold,EXTREME COLD/WINDCHILL
PROLONG COLD,EXTREME COLD/WINDCHILL
PROLONG COLD/SNOW,HEAVY SNOW
PROLONG WARMTH,EXCESSIVE HEAT
PROLONGED RAIN,HEAVY RAIN
RAIN,HEAVY RAIN
RAIN (HEAVY),HEAVY RAIN
RAIN AND WIND,HIGH WIND
Rain Damage,HEAVY RAIN
RAIN/SNOW,HEAVY RAIN
RAIN/WIND,HEAVY RAIN
RAINSTORM,HEAVY RAIN
RAPIDLY RISING WATER,FLOOD
RECORD  COLD,EXTREME COLD/WINDCHILL
Record Cold,EXTREME COLD/WINDCHILL
RECORD COLD,EXTREME COLD/WINDCHILL
RECORD COLD AND HIGH WIND,COLD/WIND CHILL
RECORD COLD/FROST,EXTREME COLD/WINDCHILL
RECORD COOL,EXTREME COLD/WINDCHILL
Record dry month,EXCESSIVE HEAT
RECORD DRYNESS,EXCESSIVE HEAT
Record Heat,EXCESSIVE HEAT
RECORD HEAT,EXCESSIVE HEAT
RECORD HEAT WAVE,EXCESSIVE HEAT
Record High,EXCESSIVE HEAT
RECORD HIGH,EXCESSIVE HEAT
RECORD HIGH TEMPERATURE,EXCESSIVE HEAT
RECORD HIGH TEMPERATURES,EXCESSIVE HEAT
RECORD LOW,EXTREME COLD/WINDCHILL
RECORD LOW RAINFALL,DROUGHT
Record May Snow,HEAVY SNOW
RECORD PRECIPITATION,HEAVY RAIN
RECORD RAINFALL,HEAVY RAIN
RECORD SNOW,HEAVY SNOW
RECORD SNOW/COLD,HEAVY SNOW
RECORD SNOWFALL,HEAVY SNOW
Record temperature,OTHER
RECORD TEMPERATURE,OTHER
Record Temperatures,OTHER
RECORD TEMPERATURES,OTHER
RECORD WARM,EXCESSIVE HEAT
RECORD WARM TEMPS.,EXCESSIVE HEAT
Record Warmth,EXCESSIVE HEAT
RECORD WARMTH,EXCESSIVE HEAT
Record Winter Snow,HEAVY SNOW
RECORD/EXCESSIVE HEAT,EXCESSIVE HEAT
RECORD/EXCESSIVE RAINFALL,HEAVY RAIN
RED FLAG CRITERIA,OTHER
RED FLAG FIRE WX,OTHER
REMNANTS OF FLOYD,FLOOD
RIP CURRENT,RIP CURRENT
RIP CURRENTS,RIP CURRENT
RIP CURRENTS HEAVY SURF,RIP CURRENT
RIP CURRENTS/HEAVY SURF,RIP CURRENT
RIVER AND STREAM FLOOD,COASTAL FLOOD
RIVER FLOOD,COASTAL FLOOD
River Flooding,COASTAL FLOOD
RIVER FLOODING,COASTAL FLOOD
ROCK SLIDE,OTHER
ROGUE WAVE,OTHER
ROTATING WALL CLOUD,OTHER
ROUGH SEAS,OTHER
ROUGH SURF,HIGH SURF
RURAL FLOOD,COASTAL FLOOD
Saharan Dust,DUST STORM
SAHARAN DUST,DUST STORM
Seasonal Snowfall,HEAVY SNOW
SEICHE,SEICHE
SEVERE COLD,EXTREME COLD/WINDCHILL
SEVERE THUNDERSTORM,THUNDERSTORM WIND
SEVERE THUNDERSTORM WINDS,THUNDERSTORM WIND
SEVERE THUNDERSTORMS,THUNDERSTORM WIND
SEVERE TURBULENCE,OTHER
SLEET,SLEET
SLEET & FREEZING RAIN,SLEET
SLEET STORM,SLEET
SLEET/FREEZING RAIN,SLEET
SLEET/ICE STORM,SLEET
SLEET/RAIN/SNOW,SLEET
SLEET/SNOW,SLEET
small hail,HAIL
Small Hail,HAIL
SMALL HAIL,HAIL
SMALL STREAM,OTHER
SMALL STREAM AND,OTHER
SMALL STREAM AND URBAN FLOOD,COASTAL FLOOD
SMALL STREAM AND URBAN FLOODIN,COASTAL FLOOD
SMALL STREAM FLOOD,COASTAL FLOOD
SMALL STREAM FLOODING,COASTAL FLOOD
SMALL STREAM URBAN FLOOD,COASTAL FLOOD
SMALL STREAM/URBAN FLOOD,COASTAL FLOOD
Sml Stream Fld,OTHER
SMOKE,DENSE SMOKE
Snow,HEAVY SNOW
SNOW,HEAVY SNOW
SNOW- HIGH WIND- WIND CHILL,COLD/WIND CHILL
Snow Accumulation,HEAVY SNOW
SNOW ACCUMULATION,HEAVY SNOW
SNOW ADVISORY,HEAVY SNOW
SNOW AND COLD,HEAVY SNOW
SNOW AND HEAVY SNOW,HEAVY SNOW
Snow and Ice,HEAVY SNOW
SNOW AND ICE,HEAVY SNOW
SNOW AND ICE STORM,HEAVY SNOW
Snow and sleet,HEAVY SNOW
SNOW AND SLEET,HEAVY SNOW
SNOW AND WIND,HEAVY SNOW
SNOW DROUGHT,DROUGHT
SNOW FREEZING RAIN,HEAVY SNOW
SNOW SHOWERS,HEAVY SNOW
SNOW SLEET,HEAVY SNOW
SNOW SQUALL,HEAVY SNOW
Snow squalls,HEAVY SNOW
Snow Squalls,HEAVY SNOW
SNOW SQUALLS,HEAVY SNOW
SNOW/ BITTER COLD,HEAVY SNOW
SNOW/ ICE,HEAVY SNOW
SNOW/BLOWING SNOW,HEAVY SNOW
SNOW/COLD,HEAVY SNOW
SNOW/FREEZING RAIN,HEAVY SNOW
SNOW/HEAVY SNOW,HEAVY SNOW
SNOW/HIGH WINDS,HEAVY SNOW
SNOW/ICE,HEAVY SNOW
SNOW/ICE STORM,HEAVY SNOW
SNOW/RAIN,HEAVY SNOW
SNOW/RAIN/SLEET,HEAVY SNOW
SNOW/SLEET,HEAVY SNOW
SNOW/SLEET/FREEZING RAIN,HEAVY SNOW
SNOW/SLEET/RAIN,HEAVY SNOW
SNOW\COLD,HEAVY SNOW
SNOWFALL RECORD,HEAVY SNOW
SNOWMELT FLOODING,FLOOD
